door,location,truck_type,updated_at
1,—,,2026-01-07 21:27:25
2,—,,2026-01-07 21:27:49
3,—,,2026-01-07 21:27:54
4,—,,2026-01-07 21:28:02
5,—,,2026-01-07 21:28:07
6,—,,2026-01-07 21:28:15
7,—,,2026-01-07 21:28:21
8,—,,2026-01-07 21:28:25
9,—,,2026-01-07 21:29:13
10,—,,2026-01-07 21:29:18
11,—,,2026-01-07 21:29:21
12,—,,2026-01-07 21:30:57
13,—,,2026-01-07 21:31:00
14,—,,2026-01-07 21:31:04
15,—,,2026-01-07 21:31:08
122,—,,2026-01-07 21:31:14
123,—,,2026-01-07 21:31:17
124,—,,2026-01-07 21:31:21
125,—,,2026-01-07 21:31:27
126,—,,2026-01-07 21:31:30
127,—,,2026-01-07 21:31:34
128,—,,2026-01-07 21:33:37
129,—,,2026-01-07 21:33:40
130,—,,2026-01-07 21:33:46
131,—,,2026-01-07 21:33:49
132,—,,2026-01-07 21:33:51
133,—,,2026-01-07 21:33:55
134,—,,2026-01-07 21:33:56
135,—,,2026-01-07 21:33:59
136,—,,2026-01-07 21:34:02
137,—,,2026-01-07 21:34:04
138,—,,2026-01-07 21:34:10
139,—,,2026-01-07 21:34:13
127,CLOSED,,2026-01-07 22:16:04
138,—,,2026-01-07 22:50:43
1,—,,2026-01-07 22:50:47
